"","Pos","Points","Assists","Rebounds","Year"
"7132","SG",8.2,1,2.8,2017
"7133","C",6.9,0.9,4.1,2017
"7134","SF",4.2,0.3,1.7,2017
"7135","PF",5.1,1,3.8,2017
"7136","PF",5.8,0.5,3,2017
"7137","SG",5.2,2,2.2,2017
"7138","SF",8.7,2,5.8,2017
"7139","SG",13.1,2.2,4,2017
"7140","PG",7.3,3.1,2.8,2017
"7141","PF",10,1.9,8,2017
"7142","SF",4.6,0.4,2.3,2018
"7143","SG",1.4,0.1,0.8,2018
"7144","SG",10.7,1.9,4.7,2018
"7145","SF",5.2,1.9,2.8,2018
"7146","PG",19.4,6.2,3.1,2018
"7147","C",10,1.5,7.9,2018
"7148","PG",6.6,3.1,1.4,2018
"7149","SG",4.7,1.2,2.6,2018
"7150","SF",2,0,1,2018
"7151","PF",10.5,1.3,7.3,2018
"7152","PG",2.6,3.2,1,2018
"7153","SG",12.9,3.5,3.8,2018
"7154","PG",6.3,3,1.9,2018
"7155","C",7.6,1,4.4,2018
"7156","C",4.3,0.8,4.1,2018
"7157","SF",0,0,0.8,2018
"7158","SF",14.1,2.6,4.7,2018
"7159","PF",4.7,0.7,3.3,2018
"7160","SG",7.2,1.4,2.3,2018
"7161","SF",18.1,2.5,4.8,2019
"7162","PF",5,0.7,2.7,2019
"7163","SG",2.6,0.8,0.6,2019
"7164","SG",5,0.7,1.6,2019
"7165","PF",10.6,1.6,5.7,2019
"7166","PG",18,4.3,2.7,2019
"7167","C",6.4,0.9,4.1,2019
"7168","SG",2.2,0.9,0.5,2019
"7169","PG",12.1,8.2,2.5,2019
"7170","PG",6.1,3.5,1.8,2019
"7171","SG",7.7,1.2,3,2019
"7172","C",24.4,3.4,12.4,2019
"7173","SF",5,0.6,2.7,2019
"7174","SF",7.1,0.8,3.3,2019
"7175","SF",4.2,1.2,2.4,2019
"7176","SF",13.3,1.3,5.5,2019
"7177","PF",10.8,1.2,6.6,2019
"7178","PG",6.9,4.8,1.9,2019
"7179","C",11.9,2,11.2,2009
"7180","SG",10.1,1.2,3,2009
"7181","PF",7.9,0.8,5.7,2009
"7182","PF",8.3,0.5,4,2009
"7183","PG",9.5,2.7,2.5,2009
"7184","PF",18.6,1.8,5.6,2009
"7185","PG",4.1,1,1.9,2009
"7186","PG",19.7,4.4,3,2009
"7187","SF",3,0.1,2.4,2009
"7188","SF",14.4,1.6,5,2009
"7189","SG",8.9,2.1,1.7,2009
"7190","SG",19,3.7,4.4,2009
"7191","PF",3.9,0.5,2,2009
"7192","C",5.9,2.1,4.5,2009
"7193","SF",20.7,6.5,5.1,2009
"7194","C",5,1.7,7.8,2010
"7195","SG",13,1.5,3.8,2010
"7196","C",11.6,1.3,6.5,2010
"7197","PF",11.7,1.9,6.9,2010
"7198","PG",10.3,2.8,2.6,2010
"7199","C",4.5,0.6,2.8,2010
"7200","SF",4,2.1,2.6,2010
"7201","PF",19.8,2.5,5.3,2010
"7202","SF",5.4,0.7,2.6,2010
"7203","SF",13.9,1.1,4.5,2010
"7204","C",5,1.6,3,2010
"7205","SG",25.5,5.3,4,2010
"7206","SG",11.8,2.2,3.8,2010
"7207","SF",15.2,2.8,4.6,2010
"7208","C",4.9,2.1,4.6,2010
"7209","PG",17.5,5.9,4.5,2010
"7210","PF",6.2,1.1,4.3,2010
"7211","C",1.7,0.3,3.8,2012
"7212","SF",9.8,1.4,3.9,2012
"7213","PG",5.8,3.3,1.4,2012
"7214","SF",2.9,0.2,1.9,2012
"7215","PF",20.1,2.8,9.6,2012
"7216","PF",3.5,1.7,3.8,2012
"7217","SF",10.3,1.5,4.6,2012
"7218","C",2,0,0.5,2012
"7219","C",4.9,0.4,3.3,2012
"7220","C",0,0,1,2012
"7221","SG",12.5,2,2.5,2012
"7222","C",6.3,0.4,6.4,2012
"7223","PF",2.2,0.2,2.2,2012
"7224","C",3.4,0.7,3.1,2012
"7225","PG",11.2,4.5,2,2012
"7226","SF",9.2,1.4,3.5,2012
"7227","PG",14.7,5.3,3.4,2012
"7228","C",3,0.4,3.2,1994
"7229","SF",1.9,0.3,0.8,1994
"7230","PG",5.9,3.6,1.5,1994
"7231","PF",16.8,4.4,8.6,1994
"7232","SF",11.6,2.4,3.3,1994
"7233","PG",2.8,1.5,1.6,1994
"7234","SG",14.7,2.4,3.2,1994
