"","Pos","Points","Assists","Rebounds","Year"
"1","PF",9.1,0.9,6.3,1991
"2","SG",14.5,2.2,3,1991
"3","PF",2.8,0.2,1.9,1991
"4","PF",1.8,0.4,1.2,1991
"5","SF",21.4,3.5,4.6,1991
"6","PG",2.9,2.5,0.7,1991
"7","PG",19.4,12.5,6.9,1991
"8","C",4,0.3,3.1,1991
"9","PF",13.5,1.5,7.4,1991
"10","SG",9.9,1,2.2,1991
"11","SG",3.7,2.1,1.1,1991
"12","C",11.2,1.1,8.1,1991
"13","PF",13.6,1.4,9.3,1992
"14","SG",14.9,2.8,3.8,1992
"15","SF",3.6,0.6,1.9,1992
"16","PF",3.2,1,2.1,1992
"17","PG",1.6,1.7,0.7,1992
"18","C",7.1,0.7,5.2,1992
"19","C",1.6,0.1,1.9,1992
"20","SF",19.9,4.7,5.6,1992
"21","SF",1.3,0.2,0.8,1992
"22","PG",2.8,1.8,0.6,1992
"23","PF",16.5,2.2,8.8,1992
"24","PG",15.1,7.2,3.1,1992
"25","SG",10.7,1.4,2.2,1992
"26","PG",4.4,1.7,1.2,1992
"27","C",11.3,1.7,6.8,1992
"28","PF",12.8,1.4,8.7,1993
"29","SF",1.3,0.3,0.9,1993
"30","SG",10.4,2.2,2.3,1993
"31","C",5.7,0.4,3.6,1993
"32","SG",13.7,2.7,2.3,1993
"33","SG",6.2,2.3,2.2,1993
"34","PG",2.4,2.3,0.8,1993
"35","PF",7.7,0.6,4.2,1993
"36","C",6.3,0.8,1.9,1993
"37","SF",14.9,3.4,3,1993
"38","PG",15.1,6.9,3.4,1993
"39","SG",6,1.1,1.5,1993
"40","C",12.8,2.8,8.9,1993
"41","PF",14.7,1.7,9.2,1994
"42","SF",19.1,1.7,6.5,1994
"43","PF",21.6,4.6,11.1,1994
"44","SG",16.5,3.4,4.4,1994
"45","SG",8.9,2.6,1.9,1994
"46","PG",2.1,1.2,0.4,1994
"47","PG",3.9,4.6,1.4,1994
"48","PG",4.6,2.1,1.2,1994
"49","PF",2.2,0.2,1.7,1994
"50","C",3.9,0.6,2.6,1994
"51","PG",20,9.5,2.5,1994
"52","C",1.5,0,1,1994
"53","C",4.7,0.4,3.6,1994
"54","C",9.2,3.5,6.9,1994
"55","SG",1,1,0.5,1994
"56","SF",11.2,1.5,8.2,1995
"57","SF",2.7,0.3,0.9,1995
"58","SF",0.9,0.1,0.4,1995
"59","PF",23,4.1,11.1,1995
"60","SF",15.6,4.1,4.6,1995
"61","SG",7.7,2.8,1.4,1995
"62","PF",17.9,3.3,6,1995
"63","C",4.4,1.3,3,1995
"64","PG",9.7,4.8,1.8,1995
"65","C",3.7,0.5,3.5,1995
"66","PG",15.5,7.7,2.5,1995
"67","SF",5.5,0.5,1.9,1995
"68","PG",4.8,1,0.5,1995
"69","PF",10,0.7,3.8,1995
"70","SG",10.4,1.3,2.6,1995
"71","SF",7.5,0.9,6.7,1996
"72","PF",23.2,3.7,11.5,1996
"73","SG",4,0.7,1.8,1996
"74","PF",13.4,2,4.3,1996
"75","PG",8.6,4.4,1.7,1996
"76","C",7.3,1,6,1996
"77","C",2.9,0.8,2.3,1996
"78","C",1.6,0.2,0.4,1996
"79","PG",18.7,9.2,4,1996
"80","SF",4.5,0.3,2.6,1996
"81","SF",15,3.5,4.6,1996
"82","PF",1.1,0.4,0.8,1996
"83","PG",2.9,1.5,1.3,1996
"84","PF",10.7,0.9,3.4,1996
"85","SG",12.7,1.7,3.9,1996
"86","PF",7.2,0.8,7.9,1997
"87","PG",10,4.3,1.8,1997
"88","SF",3.7,0.6,2.3,1997
"89","SG",10.6,2.4,3.3,1997
"90","PF",1.8,0,0.9,1997
"91","C",2,0.3,1.9,1997
"92","SF",3.4,1.4,2.1,1997
"93","SF",2.4,0.3,1,1997
"94","PG",8.2,3.6,1.8,1997
"95","PF",3.7,0.5,1.6,1997
"96","SF",15,2.7,4.5,1997
"97","PG",14.3,8.4,2.7,1997
"98","PF",5,0.4,3.4,1997
"99","SG",12.5,1.8,2.4,1997
"100","C",13.2,0.7,8.3,1997
"101","C",2.2,0.1,2.5,1997
"102","SG",1.8,0.5,1.3,1997
"103","PF",7.3,1.5,8.2,1998
"104","PF",0,0,0,1998
"105","SG",3.3,0.9,1.8,1998
"106","SF",11.4,1.3,4.7,1998
"107","C",5.9,0.9,3.8,1998
"108","C",3.6,0.6,3.4,1998
"109","SG",7.6,2.5,2.4,1998
"110","SG",11.1,1.9,2.1,1998
"111","PG",8.7,2.8,2.3,1998
"112","PF",7.4,0.6,4.8,1998
"113","PF",5.7,0.7,2.8,1998
"114","SF",21.5,4.9,5.3,1998
"115","PG",7.8,3.5,2.9,1998
"116","PF",8.9,0.6,7.3,1998
"117","C",11.4,0.9,8.1,1998
"118","SG",5.9,1.1,1.7,1998
"119","PF",4.9,0.5,4.5,1999
"120","C",1.3,0.3,0,1999
"121","SF",12.5,0.9,6.6,1999
"122","C",3.3,0.7,2.4,1999
"123","PF",8.2,1,3.5,1999
"124","SG",7.5,1.9,2.6,1999
"125","PF",16,1.7,7.8,1999
"126","C",1.2,0.6,3.3,1999
"127","SG",9.1,1.8,1.8,1999
"128","SF",20.2,4.4,5.3,1999
"129","PG",8.9,3.2,1.5,1999
"130","PF",5.9,0.2,3.7,1999
"131","C",8.6,0.8,8,1999
"132","PG",7.9,5.5,2.9,1999
"133","PF",5,1,6,2000
"134","SG",4.1,2.7,2.9,2000
"135","PG",6.3,2.8,1.9,2000
"136","SF",3.2,0.2,1.5,2000
"137","SF",15.9,2.2,4.1,2000
"138","PG",2.3,1.3,0.7,2000
"139","C",1.6,0.6,1.4,2000
"140","SG",22.5,4.9,6.3,2000
"141","SF",6.5,1.7,2.4,2000
"142","PF",5.7,1.6,4.8,2000
"143","PG",7,3.4,4.2,2000
"144","C",29.7,3.8,13.7,2000
"145","C",1.7,0.4,2,2000
"146","PG",6,2.1,1.6,2000
"147","PF",4.5,0.5,3.8,2001
"148","C",13.6,0.9,7.8,2001
"149","PG",6.4,3.7,2.5,2001
"150","PF",16.1,3.1,9.6,2001
"151","C",15.2,1.2,8.7,2001
"152","SF",7.6,1.6,2.9,2001
"153","SF",6.5,0.5,2.7,2001
"154","SG",5,1.7,3.2,2001
"155","SF",3.9,0.5,2.3,2001
"156","C",2.5,0.2,2.6,2001
"157","PG",5,1,0.8,2001
"158","SG",17.4,2.7,4.6,2001
"159","SF",1,0.3,1.8,2001
"160","SG",4.6,1.6,1,2001
"161","PG",14.9,6.3,2.6,2001
"162","C",2.8,0.1,1.8,2001
"163","C",1,0,2.8,2000
"164","PG",11.1,5.8,3.4,2000
"165","C",6.6,0.7,5.4,2000
"166","C",0.7,0,0.3,2000
"167","SG",13.8,3.9,4,2000
"168","PG",9.3,7,3,2000
"169","SF",5.4,0.9,2.3,2000
"170","PF",7.3,1.1,3.8,2000
"171","SF",1.8,0,0.2,2000
"172","PG",5.3,1.8,1,2000
"173","SF",5.6,0.5,2.5,2000
"174","SF",15.9,1.8,5.7,2000
"175","PF",1.5,0,1.5,2000
"176","PF",5.7,0.8,4.7,2000
"177","PF",2.1,0.2,1.8,2000
"178","C",17.8,1.7,8.8,2000
"179","SG",4.9,1.1,1.5,2000
"180","SG",9.2,1.8,3.4,2000
"181","SG",8.8,2.5,2.1,1991
"182","SF",28.4,4.6,5,1991
"183","SG",5.2,0.7,1.3,1991
"184","C",2.6,0.8,5.8,1991
"185","SG",1.4,0.8,0.8,1991
"186","PG",7.8,6.5,7,1991
"187","PF",4.4,0.7,2.8,1991
"188","PF",18.2,2.6,7.2,1991
"189","PG",8,4.8,3.3,1991
"190","SF",12.5,4,5.4,1991
"191","SG",3.9,1,1.4,1991
"192","SG",13,2,1.9,1991
"193","PF",5.8,1.1,2.8,1991
"194","C",10.4,1.3,7.7,1991
"195","PF",5.2,0.6,2.9,1991
"196","SG",10.9,1.8,2.1,1992
"197","SF",5.2,0.8,1.9,1992
"198","PG",4.1,2.5,1.2,1992
"199","C",1.1,0.8,4.2,1992
"200","SG",7.9,3,3.3,1992
"201","PF",3,1,5,1992
"202","PF",4.3,0.7,3,1992
"203","SF",18,2.7,6.8,1992
"204","SG",5.1,2.1,1.7,1992
"205","PF",10.4,1.6,5.9,1992
"206","SG",13.2,1.9,2.7,1992
"207","PG",18.1,7.6,3.9,1992
"208","C",20,2.9,11.2,1992
"209","C",2.2,0.4,3,1992
"210","PG",12.3,4,2.7,1992
"211","PF",11.9,1,5,1992
"212","PG",6,1.9,1.1,2001
"213","C",8.9,1.9,7.3,2001
"214","PG",6.3,3.9,1.5,2001
"215","PG",4.7,1.1,1.6,2001
"216","C",1.3,0.3,1.6,2001
"217","C",2.4,0.7,2.9,2001
"218","PF",20.1,3.2,10.1,2001
"219","SG",9.1,3.6,4.2,2001
"220","C",1.9,0.3,2.2,2001
"221","PG",4.6,2.3,1.4,2001
"222","PG",6.3,2.9,1.6,2001
"223","PF",9.5,1.1,4.4,2001
"224","SF",11.9,3,3.9,2001
"225","PF",2.6,0.9,5.8,2001
"226","SG",19.7,3.3,3.9,2001
"227","PF",1.6,0.5,1.8,2001
"228","PG",5.4,1.8,1,2002
"229","PF",3.8,2,6.1,2002
"230","C",3.7,0.5,3.2,2002
"231","SF",9,1.3,2.7,2002
"232","C",6.7,0.3,3.7,2002
"233","SG",4.4,1.7,2.6,2002
"234","SF",20.4,4.3,4.5,2002
"235","PG",9.3,2.4,1.5,2002
"236","PF",12.3,1.6,5.6,2002
"237","SG",2.7,0.2,0.8,2002
"238","PG",7.9,4.4,2.1,2002
"239","SG",8.7,2.2,3.2,2002
"240","C",6.1,0.8,4.8,2002
"241","PG",0,1,0,2003
"242","C",5.4,0.5,5.9,2003
"243","SF",22.2,1.9,7.1,2003
"244","SG",7.3,3.2,3.1,2003
"245","PF",4.8,1,2.4,2003
"246","PF",3.5,0.7,4.2,2003
"247","PG",1.5,1.5,1,2003
"248","PG",8.8,3.3,1.3,2003
"249","C",8.2,0.7,6.6,2003
"250","PG",18.3,6.3,4.7,2003
"251","PF",0,0.3,0.3,2003
"252","SG",15.6,3,4.7,2003
"253","SF",1.6,0.7,0.7,2003
"254","SF",5.7,1.3,2.6,2003
"255","PF",11.7,1.3,10.2,2003
"256","SG",3.1,0.2,0.7,2003
"257","C",2.2,0.2,1.7,2017
"258","PF",0,0,0.7,2017
"259","SG",2.5,0.9,1.7,2017
"260","PG",6.7,2.1,2,2017
"261","PF",14.2,1.5,6.5,2017
"262","PF",4.3,0.8,2.8,2017
"263","C",6.7,0.6,4,2017
"264","PF",19.2,1.5,5,2017
"265","PG",10.9,5.5,2.4,2017
"266","PF",4.4,1,2.5,2017
"267","PG",6.2,1.5,1.3,2017
"268","SG",2,0.5,2.3,2017
"269","C",8.7,1,5.7,2017
"270","SG",2.8,0.9,1.8,2017
"271","PG",4.4,2.4,1.1,2017
"272","C",2.9,0.2,4.2,2017
"273","PG",12.8,2.7,2.6,2017
"274","SG",13.5,2.9,3.5,2017
"275","PG",10,3.7,2.4,2017
"276","PG",7.3,1.9,1.6,2010
"277","SG",9.4,1.4,4.2,2010
"278","SF",10.2,2,3,2010
"279","SF",24.1,2.8,5.5,2010
"280","PG",7.8,5.1,3.1,2010
"281","C",3.1,1.3,5,2010
"282","C",4.3,1,3.1,2010
"283","SG",7.6,1.5,1.7,2010
"284","SF",9.9,1.5,3.5,2010
"285","C",11.7,2,5.7,2010
"286","C",4,0.6,2.8,2010
"287","PG",10.3,3.8,3.2,2010
"288","PF",14.6,2.1,10.2,2010
"289","PF",8.5,1,4.8,2010
"290","PG",6.5,2.2,1.4,2011
"291","SG",9.1,0.9,3.2,2011
"292","SG",6.3,0.7,1.5,2011
"293","SF",20.5,2.6,5.4,2011
"294","PG",13.2,5.1,2.8,2011
"295","SF",4.9,0.7,3,2011
"296","C",3.3,0.8,6.3,2011
"297","PF",7.4,2.1,5.3,2011
"298","SG",3.1,1.8,1.5,2011
"299","SG",11.2,1.7,4.6,2011
"300","SG",7.8,1.1,3.7,2011
"301","C",12.7,2,7.5,2011
"302","C",3.6,0.8,2.9,2011
"303","PG",5.4,3.4,2,2011
"304","PF",11,0.6,5.3,2011
"305","PG",3.9,2,1.4,2012
"306","SF",5.3,1,1.8,2012
"307","SF",18.7,1.8,5,2012
"308","PG",10.4,4.8,3.1,2012
"309","PF",12.8,2.1,6.6,2012
"310","PG",9.6,2.9,3,2012
"311","C",1.7,0.2,1.7,2012
"312","C",2.3,0.4,3.8,2012
"313","C",2.7,0.3,3,2012
"314","SG",2.5,1.1,1.3,2012
"315","SG",11.1,1.5,2,2012
"316","PF",3.6,0.2,3.7,2012
"317","SG",12.1,2.4,5.6,2012
"318","C",12.8,1.7,8.8,2012
"319","PF",9.3,0.5,4.4,2012
"320","PG",7.7,3.6,2,2013
"321","SG",13.9,2.4,3.8,2013
"322","SF",6.6,0.5,2.5,2013
"323","PF",4.1,0.6,3.2,2013
"324","C",9.7,1.2,8.7,2013
"325","SG",5.1,2.3,2.4,2013
"326","PF",2.5,0.5,2.3,2013
"327","C",1.1,0.2,1.6,2013
"328","PG",18.5,7.6,4,2013
"329","C",9.1,0.7,4.4,2013
"330","SF",11.4,1.9,3.9,2013
"331","PF",12.6,2.9,6.7,2013
"332","SF",9.5,2,4.8,2013
"333","PF",5.3,0.8,4.9,2013
"334","SG",1.6,0.5,0.3,2014
"335","SG",4,1.1,1.3,2014
"336","SF",6.7,0.8,2.5,2014
"337","SF",12.3,1.7,2.6,2014
"338","PF",6.3,1,4.1,2014
"339","C",4.8,0.7,5,2014
"340","PG",8.4,3.8,1.9,2014
"341","PF",26.1,4.4,12.5,2014
"342","SG",19.1,1.8,3,2014
"343","PF",3.5,0.6,2.3,2014
"344","C",17.5,0.9,8.7,2014
"345","SG",1.5,0.2,1.5,2014
"346","PG",9.5,8.6,4.1,2014
"347","SF",3.4,0.4,2.5,2014
"348","C",4.8,0.8,5.6,2014
"349","SG",3.9,0.2,1.4,2014
"350","PG",5.1,1.8,1.2,2015
"351","C",6.3,0.5,6.6,2015
"352","SG",5.6,1.1,1.8,2015
"353","PF",7.3,0.5,4.3,2015
"354","PG",17,5.2,3.8,2015
"355","C",2,0.3,1.8,2015
"356","PG",17,6.1,5.2,2015
"357","SG",11.9,1.2,2.5,2015
"358","PG",1.5,0.3,0.5,2015
"359","PF",10.4,1.6,4.8,2015
"360","SG",7.9,0.8,1.8,2015
"361","PF",15.3,2.3,6.1,2015
"362","SF",9.1,1.6,6.5,2015
"363","SF",1.9,0.2,1.4,2015
"364","PG",0,0.5,1,2015
"365","SF",6.1,0.6,2.1,2015
"366","PG",2,1.3,0.5,1991
"367","PG",13.8,7.6,4.7,1991
"368","PF",1.8,0.1,0.8,1991
"369","PG",8.7,4.2,2.2,1991
"370","SF",2.5,2.5,0,1991
"371","PF",5.2,0.6,4.9,1991
"372","C",3.6,0.3,3.4,1991
"373","SF",15.6,3.1,3.2,1991
"374","PF",18.4,1.9,7,1991
"375","SF",19.4,7.2,8.5,1991
"376","PF",4.6,0.9,1.1,1991
"377","SG",18.7,2.5,5.2,1991
"378","C",14.9,0.8,10.5,1991
"379","C",1.9,0.1,1.7,1991
"380","PG",5.2,1.7,1.1,2008
"381","SG",7.7,1.9,2.6,2008
"382","PF",8.1,0.5,4.9,2008
"383","PF",3,1.2,5.4,2008
"384","C",3,0.1,5.1,2008
"385","SF",5.1,1,2.1,2008
"386","C",1.5,0,2.2,2008
"387","C",0.9,0.3,0.1,2008
"388","PF",10.3,1.3,6.4,2008
"389","SG",7.6,1.9,1.8,2008
"390","PF",3.6,0.2,3.2,2008
"391","PG",13.1,5.3,3.5,2008
"392","SF",9.3,1.9,5.1,2008
"393","PG",5.5,3,2.3,2008
"394","SF",3.9,0.2,1,2008
"395","SG",21.6,5.9,5.1,2008
"396","C",22,2.3,10.8,2008
"397","PG",11.2,3,2,2009
"398","SG",3.7,1.4,1.7,2009
"399","PF",2.5,0.2,1,2009
"400","PF",9.2,0.6,5,2009
"401","C",1.3,0.6,3.5,2009
"402","C",1.8,0,3.6,2009
"403","SF",1.8,0.3,0,2009
"404","PF",0.7,0.3,0.3,2009
"405","PG",7.6,3.6,2.4,2009
"406","PF",12.7,1.5,8.7,2009
"407","SF",17.1,3.3,5.2,2009
"408","SG",7.3,2.3,4.8,2009
"409","SG",15.6,5,4.4,2009
"410","SG",9.7,1.1,1.8,2009
"411","C",19.7,1.8,9.8,2009
"412","PG",19.6,5.3,2.7,2010
"413","PF",1.4,0.1,0.6,2010
"414","SF",8.9,1.2,3,2010
"415","C",4.4,1.7,5.6,2010
"416","C",5.8,0.7,3.3,2010
"417","PF",2.2,0.6,2.4,2010
"418","PF",5.3,1.4,4.2,2010
"419","SG",4.1,0.5,1.5,2010
"420","PF",5.2,0.4,3.7,2010
"421","SG",20.6,2.4,3.5,2010
"422","PG",9.1,4.5,3.6,2010
"423","PF",16.2,2.1,8.6,2010
"424","SG",8,2.4,4.7,2010
"425","SF",14.9,3.8,5.6,2010
"426","PG",1.2,1.4,0.6,2010
"427","PG",10.7,3.9,1.3,2011
"428","PF",12.7,1.2,6.6,2011
"429","PF",0,0,0,2011
"430","C",2.1,0.1,1.4,2011
"431","SF",13.2,2.5,4.3,2011
"432","PF",8.4,0.9,3.7,2011
"433","SF",10.6,1.3,3.9,2011
"434","SG",5,0.8,2.9,2011
"435","C",10.2,0.9,7.9,2011
"436","SG",7.2,0.6,2.2,2011
"437","C",6.4,0.1,3.2,2011
"438","PG",14.7,11.4,3.4,2011
"439","SG",14,2,3.7,2011
"440","PG",5,2.1,0.8,2011
"441","PG",7.1,2.2,1.5,2013
"442","SF",10.6,2,3.3,2013
"443","SF",15.5,3.5,5.3,2013
"444","PF",5.7,0.7,2.1,2013
"445","SG",5.5,1.1,1.5,2013
"446","C",6,0.4,4.6,2013
"447","SG",3.8,1.1,1.9,2013
"448","SG",25.9,5.8,4.9,2013
"449","PG",13.4,6.1,3,2013
"450","PG",5.6,2.9,2.7,2013
"451","PG",1.3,1,0.2,2013
"452","PF",5.5,0.8,3.4,2013
"453","PF",4.8,0.7,4.5,2013
"454","C",1,0.3,0.3,2013
"455","C",10.1,0.9,11.7,2013
"456","PG",9,3.2,1.9,2014
"457","PF",4.8,0.7,2.9,2014
"458","SF",5.9,0.9,3.1,2014
"459","SG",8.4,1.5,2.6,2014
"460","PF",11.8,1.4,9.2,2014
"461","C",7,0.4,3.4,2014
"462","PF",3.6,0.4,3.5,2014
"463","PF",13.7,1.2,8.6,2014
"464","PG",10.4,2.5,1.9,2014
"465","PF",4.9,0.5,2.8,2014
"466","SG",13.2,3.5,2.8,2014
"467","C",9.4,0.8,6.5,2014
"468","PG",17.6,8.8,3.4,2014
"469","SF",13.6,1.8,4.7,2014
"470","PG",11.6,3.2,2,2015
"471","PF",0.6,0.1,0.4,2015
"472","PG",17.7,4.9,3.2,2015
"473","SF",3,0.2,1.2,2015
"474","SG",2.7,0.6,0.8,2015
"475","SG",20,3.3,5.9,2015
"476","C",7.2,4.7,9.7,2015
"477","SG",5.7,2.2,1.8,2015
"478","SF",9.4,1.8,3.9,2015
"479","C",1.2,0.1,1.7,2015
"480","PF",10.2,1.2,5,2015
"481","PF",18.5,2.7,11.8,2015
"482","PF",10.3,1.1,6.4,2015
"483","SF",6,0.9,2.4,2015
"484","PG",7.1,2.6,1.5,2016
"485","PF",7,0.8,5.5,2016
"486","C",1.9,0.3,1.5,2016
"487","C",3.4,0.8,3.3,2016
"488","PG",16.4,4.7,3.4,2016
"489","SF",9.4,0.7,2.5,2016
"490","SG",7.5,1.7,2.2,2016
"491","SG",20.9,4.8,5.4,2016
"492","C",4.3,3.8,8.8,2016
"493","SG",4.5,1.1,1.7,2016
"494","SF",7.2,1.3,2.7,2016
"495","PF",11.8,1.5,5.5,2016
"496","C",16.5,4.1,11.1,2016
"497","PF",8.6,1.5,6.9,2016
"498","SF",5.3,1,3.1,2016
"499","PG",5,1.9,1.1,2017
"500","C",8.1,0.9,4.2,2017
"501","SF",10.7,0.6,3,2017
"502","PF",0.9,0.2,0.8,2017
"503","SF",6.1,0.7,3.5,2017
"504","PG",15.3,7.8,4,2017
"505","PG",2.1,0.5,0.5,2017
"506","PF",4.7,0.5,2.9,2017
"507","SG",6.8,3.3,2.9,2017
"508","PF",2.9,0.9,3.6,2017
"509","SG",8.5,3.2,2.8,2017
"510","C",14.5,1.3,7.3,2017
"511","SF",23.7,3.3,6.6,2017
"512","PF",2,0.1,1.9,2017
"513","PG",7.2,2.2,2.2,2017
"514","PF",11,1.6,6.1,2017
"515","PG",2.3,0.6,0.5,2018
"516","SF",17.7,2,4.4,2018
"517","SF",3,1,0,2018
"518","C",0.6,0.1,0.7,2018
"519","PG",8.4,1.5,1.4,2018
"520","C",5.9,0.9,4.5,2018
"521","SG",10.3,2.3,1.3,2018
"522","PG",14.2,7,2.9,2018
"523","SG",22.2,4.9,5.3,2018
"524","C",2,0,0,2018
"525","C",21.3,2.4,12.3,2018
"526","SG",1.4,0.2,0.4,2018
"527","PF",6.8,1.3,4.1,2018
"528","PF",12.2,1.2,7.2,2018
"529","PG",5.1,2.8,1.6,2018
"530","PF",5.2,0.7,3.6,2015
"531","PF",4.9,0.6,2,2015
"532","SG",6.2,0.9,1.1,2015
"533","PF",7.3,1.3,3.9,2015
"534","SG",2.3,1.1,1.9,2015
"535","C",3.7,0.2,5,2015
"536","PG",8.9,6.5,4.3,2015
"537","SG",12,2.1,2.7,2015
"538","PF",5.8,1.2,3.9,2015
"539","PG",4,2,1.5,2015
"540","SF",3.5,0.6,2.3,2015
"541","C",19.3,2,10.9,2015
"542","SF",17.1,1.8,6.4,2015
"543","SG",17.9,4.1,4.2,2015
"544","SG",5.9,1.3,1.6,2015
"545","PF",9.2,1.6,6.5,2016
"546","PF",6.9,0.4,3.6,2016
"547","PG",6.9,3.5,2,2016
"548","PG",4.3,2.7,2,2016
"549","SG",2.1,0.4,1.3,2016
"550","C",4.4,0.2,4,2016
"551","PG",10.7,6.4,3.6,2016
"552","PF",10.4,0.9,5.4,2016
"553","SF",15.4,2.7,2.8,2016
"554","C",7.2,0.8,2.9,2016
"555","PG",1.2,0.2,0.2,2016
"556","SF",6.1,1.4,2.3,2016
"557","C",18.2,2.8,8.9,2016
"558","PG",3.7,1.8,1,2016
"559","SG",16,3.9,4.8,2016
"560","SF",12.7,1.9,5.1,2017
"561","SF",3.9,0.7,3,2017
"562","C",0.5,0.3,0.8,2017
"563","C",6,0.9,7,2017
"564","PG",4.5,1.8,1.5,2017
"565","SG",1,0.5,0.6,2017
"566","PG",7.9,2.7,1.5,2017
"567","SF",1.8,0.4,0.5,2017
"568","PG",12.8,6.5,4.7,2017
"569","SG",17.2,3,3,2017
"570","PF",9.2,1.2,3.1,2017
"571","SG",9.1,1.3,2.1,2017
"572","SG",2.8,0.6,1.8,2017
"573","SF",4.9,1,2.2,2017
"574","C",14.6,2.8,10.3,2017
"575","SG",0,0,1.4,2017
"576","C",1.2,0.2,1.9,2017
"577","SF",11,1.1,2.6,2017
"578","PF",17.6,2.3,7.9,2018
"579","PF",4.2,0,1.8,2018
"580","SG",3.4,0.6,1.3,2018
"581","C",5.7,0.8,5.8,2018
"582","PG",10.2,3.8,2.1,2018
"583","SF",17.8,2.9,3.2,2018
"584","SG",5.1,1.2,2.6,2018
"585","PF",5.4,0.7,3.7,2018
"586","SG",13.9,2.5,3.5,2018
"587","C",4.2,0.8,4.3,2018
"588","SF",9.6,1.4,3.7,2018
"589","C",7.7,0.8,2.6,2018
"590","C",16.5,3.4,9.2,2018
"591","SG",2.3,0.5,0.7,2018
"592","SG",6,1.1,1.7,2018
"593","PG",6.9,3.9,2.4,2018
"594","SG",8.7,1.6,3,2018
"595","SF",3.7,0.9,2.2,2018
"596","PF",16,3.7,7.4,2019
"597","PF",2.3,0.3,1.8,2019
"598","PG",11.7,5.3,2.5,2019
"599","SG",15.1,3.6,3.2,2019
"600","PG",3.5,2.2,1.9,2019
"601","PF",2.7,0.4,1.8,2019
"602","PG",4.2,2.6,1.6,2019
"603","PF",9.6,1.1,5.5,2019
"604","C",4.8,0.8,3.8,2019
"605","SG",1.5,0.1,0.5,2019
"606","PG",4.8,2.5,2.5,2019
"607","C",6.2,0.8,5,2019
"608","C",20.8,3.8,12,2019
"609","SG",15.1,1.7,3.4,2019
"610","PG",2.5,1,0.8,2019
"611","SF",5,1.1,2.7,2019
"612","PF",14.4,3.7,7.6,2020
"613","PF",4.3,1.2,4.8,2020
"614","PF",0.8,0.2,1.3,2020
"615","SF",3,0.3,1.5,2020
"616","PG",10.5,4.6,2.2,2020
"617","SF",18.5,3.2,2.6,2020
"618","SF",3.7,0.4,2.6,2020
"619","SF",6.6,0.9,3.5,2020
"620","PF",11.9,1.4,6.8,2020
"621","PG",1.5,0.6,0.7,2020
"622","C",4.4,1,4.6,2020
"623","PG",12.1,5.1,3.3,2020
"624","SG",2.1,0.2,0.5,2020
"625","SG",7.2,2.4,3.2,2020
"626","C",5.4,0.7,4.9,2020
"627","C",19.6,3.6,10.9,2020
"628","SG",14.7,1.2,3.2,2020
"629","PF",1.9,0.4,1.4,2020
"630","SF",5.8,1.2,2.6,2020
"631","PF",12.4,3.2,5.6,2021
"632","SG",7.9,2.3,2.3,2021
"633","PF",2.2,0.2,0.8,2021
"634","PG",6.1,3.6,2,2021
"635","PF",0,0,0,2021
"636","PF",8.1,0.9,4.8,2021
"637","C",7.3,0.8,5.2,2021
"638","PG",21.2,4.8,4.1,2021
"639","SG",2.8,0.5,0.5,2021
"640","SF",19,1.1,7.3,2021
"641","PG",10.2,3.2,2,2021
"642","C",26.4,8.3,10.8,2021
"643","SG",7.7,1.8,3.6,2021
"644","PF",9,1.8,4.7,2021
"645","SG",2.1,0.7,1.4,2021
"646","PF",2.1,0.3,1.3,2021
"647","SF",12.7,3.2,4,2021
"648","PF",3.2,0.2,1.5,2021
"649","C",4.3,0.7,2.7,2008
"650","SF",13.2,1.2,4.2,2008
"651","SG",18.6,3,3.1,2008
"652","PF",0.6,0,1.3,2008
"653","PG",5.8,4,1.8,2008
"654","SF",1.1,0.1,0.4,2008
"655","PF",12,1.2,8.5,2008
"656","C",6.6,1.1,5.7,2008
"657","PG",11.5,6,3.3,2008
"658","PG",12.2,2.7,3.4,2008
"659","SF",17,2.5,6.3,2008
"660","SG",5.4,0.8,1,2008
"661","SG",6.7,1.9,3.7,2008
"662","SG",5.3,0.3,1.1,2008
"663","PF",6.8,1.2,4.6,2008
"664","PF",3.6,0.9,2.3,2008
"665","C",3.5,0.8,3.9,2009
"666","PG",4.1,0.7,0.8,2009
"667","SG",20.7,3.4,3.4,2009
"668","C",11.9,3.3,7.7,2009
"669","PG",16.8,6.3,3.9,2009
"670","C",6.7,1.3,7.6,2009
"671","SF",18.3,3.2,4.2,2009
"672","SG",9.9,3.9,2.4,2009
"673","PG",2.6,1.3,0.5,2009
"674","PF",0.9,0.2,0.8,2009
"675","SF",14.1,1.9,6,2009
"676","PF",8.5,1.1,3.2,2009
"677","PF",10.8,1,6.5,2009
"678","C",3.3,0.7,3.3,2010
"679","PG",18.7,10.7,4.2,2010
"680","C",7.2,0.9,3.1,2010
"681","PG",12.4,5.7,2.5,2010
"682","PF",19,3,7.4,2010
"683","C",10.4,0.7,9.1,2010
"684","SF",5.2,1.5,4.3,2010
"685","PG",0.4,1.2,0.4,2010
"686","SF",3.8,0.6,2.2,2010
"687","SG",14.5,1.6,2.9,2010
"688","SG",7.1,0.9,2.8,2010
"689","SF",12.6,1.5,3.6,2010
"690","C",0.7,0.1,1.6,2010
"691","C",3.1,0.4,4.1,2011
"692","PF",11.9,0.8,4.6,2011
"693","PG",15.9,9.8,4.1,2011
